sl.no,key,language
1,af,afrikaans
2,sq,albanian
3,am,amharic
4,ar,arabic
5,hy,armenian
6,az,azerbaijani
7,eu,basque
8,be,belarusian
9,bn,bengali
10,bs,bosnian
11,bg,bulgarian
12,ca,catalan
13,ceb,cebuano
14,ny,chichewa
15,zh-cn,chinese (simplified)
16,zh-tw,chinese (traditional)
17,co,corsican
18,hr,croatian
19,cs,czech
20,da,danish
21,nl,dutch
22,en,english
23,eo,esperanto
24,et,estonian
25,tl,filipino
26,fi,finnish
27,fr,french
28,fy,frisian
29,gl,galician
30,ka,georgian
31,de,german
32,el,greek
33,gu,gujarati
34,ht,haitian creole
35,ha,hausa
36,haw,hawaiian
37,iw,hebrew
38,hi,hindi
39,hmn,hmong
40,hu,hungarian
41,is,icelandic
42,ig,igbo
43,id,indonesian
44,ga,irish
45,it,italian
46,ja,japanese
47,jw,javanese
48,kn,kannada
49,kk,kazakh
50,km,khmer
51,ko,korean
52,ku,kurdish (kurmanji)
53,ky,kyrgyz
54,lo,lao
55,la,latin
56,lv,latvian
57,lt,lithuanian
58,lb,luxembourgish
59,mk,macedonian
60,mg,malagasy
61,ms,malay
62,ml,malayalam
63,mt,maltese
64,mi,maori
65,mr,marathi
66,mn,mongolian
67,my,myanmar (burmese)
68,ne,nepali
69,no,norwegian
70,ps,pashto
71,fa,persian
72,pl,polish
73,pt,portuguese
74,pa,punjabi
75,ro,romanian
76,ru,russian
77,sm,samoan
78,gd,scots gaelic
79,sr,serbian
80,st,sesotho
81,sn,shona
82,sd,sindhi
83,si,sinhala
84,sk,slovak
85,sl,slovenian
86,so,somali
87,es,spanish
88,su,sundanese
89,sw,swahili
90,sv,swedish
91,tg,tajik
92,ta,tamil
93,te,telugu
94,th,thai
95,tr,turkish
96,uk,ukrainian
97,ur,urdu
98,uz,uzbek
99,vi,vietnamese
100,cy,welsh
101,xh,xhosa
102,yi,yiddish
103,yo,yoruba
104,zu,zulu
105,fil,Filipino
106,he,Hebrew
